app_name,category,rating,review,helpful_votes,version,date,user_name,developer_response
Clash of Clans,Games,4.0,Can't imagine life without it the developer features performance Slightly Extremely the developer,81,3.0.1,2022-11-06,user_3323,
Coursera,Education,1.0,Keeps freezing on my device features performance the developer,210,1.7.2,2022-01-15,user_2844,
YouTube,Entertainment,3.0,"Some features are great, others not so much design this update this update Extremely performance the app performance Very Really the developer Really the app design the app",351,1.9.0,2023-11-04,user_2032,
Netflix,Entertainment,4.0,Incredible features and smooth UI Extremely Extremely the developer features Very the developer design features Really this update design this update performance performance performance,58,1.4.5,2022-04-01,user_7017,Thank you for your feedback!
Robinhood,Finance,5.0,Great customer support too Slightly features performance this update Slightly,201,3.6.2,2023-08-18,user_7582,
Coursera,Education,4.0,Can't imagine life without it Very the developer design the developer the app features Really Extremely Very,444,3.7.7,2023-07-07,user_3691,
Spotify,Music,2.0,Lost all my data after update this update this update design Very,446,5.2.3,2023-12-11,user_7493,
Strava,Health & Fitness,3.0,OK but could use some improvements this update,390,5.0.4,2023-07-18,user_3698,
Google Drive,Utilities,4.0,Can't imagine life without it Very performance performance this update Slightly the developer Slightly this update performance the developer features Extremely the developer Very the developer,349,2.0.8,2022-04-21,user_9113,
PUBG Mobile,Games,5.0,Incredible features and smooth UI performance Slightly Extremely the developer features Very Really,441,3.1.3,2022-07-10,user_2168,
Twitter,Social Networking,5.0,"Fantastic update, keeps getting better the app Slightly the app",403,5.4.5,2023-02-02,user_7142,
Lightroom,Photo & Video,5.0,"Five stars, highly recommend! the developer this update the developer features the app Slightly Extremely the app performance performance performance the app this update design features",219,4.0.6,2022-02-09,user_8986,
Robinhood,Finance,4.0,Incredible features and smooth UI Really performance,19,1.7.6,2022-12-12,user_4954,We're working on it.
Robinhood,Finance,4.0,Absolutely love this app! Slightly performance design Extremely the app Really Very design performance features,49,4.1.8,2022-07-05,user_8588,
Dropbox,Utilities,5.0,Works flawlessly on my iPhone design this update performance Extremely Very this update Very the app design Really the developer the app,95,2.1.3,2023-05-09,user_8966,
Minecraft,Games,5.0,"Five stars, highly recommend! performance Really Very Slightly the developer",249,4.3.7,2023-12-19,user_2902,
Trello,Productivity,5.0,Super intuitive and fast performance features this update the app,227,3.6.0,2023-12-27,user_9604,
eBay,Shopping,5.0,Great customer support too the app Really the app,417,4.1.1,2022-03-31,user_5305,
Robinhood,Finance,,"Five stars, highly recommend! features design Very Very this update the developer the app",294,5.5.8,2022-09-27,user_8829,
1Password,Utilities,4.0,Super intuitive and fast Very Really Extremely Slightly performance Slightly Slightly this update Really this update Extremely this update Slightly,370,2.5.3,2023-05-07,user_4498,
1Password,Utilities,4.0,"Fantastic update, keeps getting better the app Really Slightly the developer this update design Very Very this update design Really this update features this update Extremely",124,4.5.3,2022-09-26,user_7658,
Hulu,Entertainment,3.0,Useful but not without issues design,236,4.0.3,2023-11-19,user_7122,Thank you for your feedback!
Khan Academy,Education,4.0,Works flawlessly on my iPhone performance Very the developer performance design the developer performance,20,2.3.9,2023-06-18,user_5712,Thank you for your feedback!
PUBG Mobile,Games,5.0,"Five stars, highly recommend!",354,4.1.8,2022-03-28,user_3384,
SoundCloud,Music,5.0,Incredible features and smooth UI Extremely the developer features Slightly design the developer features design the app the app performance design,99,5.8.9,2023-09-06,user_3248,Thank you for your feedback!
Spotify,Music,5.0,"Best app on my phone, period. features this update the developer Really the developer features design this update Extremely features Slightly Extremely Very features Very",86,3.8.6,2022-10-13,user_5323,We're working on it.
Duolingo,Education,5.0,Changed my daily routine for the better design the developer Very the developer,13,5.8.5,2022-07-29,user_8580,We're working on it.
Airbnb,Travel,5.0,Super intuitive and fast performance design the developer,374,2.9.5,2022-07-07,user_9142,
Facebook,Social Networking,4.0,"Five stars, highly recommend! performance features the app Slightly Extremely Really Very Slightly this update Slightly Really design Extremely the app features",421,5.9.4,2023-06-08,user_7889,
Snapchat,Social Networking,4.0,Absolutely love this app! the developer the app Very the app Slightly Very Very performance features Really Really Very this update,317,2.1.6,2022-07-29,user_1654,We're working on it.
Clash of Clans,Games,2.0,"Crashes constantly, very frustrating Slightly the developer Extremely",380,4.3.3,2022-08-14,user_5370,We're working on it.
Apple Music,Music,4.0,Changed my daily routine for the better Really this update performance Very,230,4.3.8,2023-09-24,user_1285,
Subway Surfers,Games,4.0,Works flawlessly on my iPhone design Very Extremely the app Extremely the developer design features,129,3.1.0,2022-09-02,user_6054,Thank you for your feedback!
Yelp,Food & Drink,2.0,Interface is confusing and cluttered the app Extremely design the app the app Very design design performance Really performance Extremely,144,4.6.8,2022-12-17,user_6276,
Venmo,Finance,4.0,Great customer support too design the developer Slightly performance the developer the developer Slightly performance Extremely Slightly the app Extremely,27,3.3.6,2023-09-07,user_8695,
Google Drive,Utilities,4.0,Works flawlessly on my iPhone the developer Really performance Really this update Slightly Really,228,4.7.6,2022-04-02,user_8165,
Apple Music,Music,1.0,Keeps freezing on my device Slightly features the app Very design the developer this update design,448,1.6.5,2022-02-19,user_4745,
Netflix,Entertainment,5.0,Super intuitive and fast the developer this update,439,3.1.8,2022-09-19,user_8423,
VSCO,Photo & Video,4.0,Super intuitive and fast Extremely features Extremely Slightly this update Extremely Really Really the developer performance features features Very,406,5.7.6,2022-06-21,user_4870,
Microsoft Word,Productivity,4.0,Works flawlessly on my iPhone Really Very,394,2.8.1,2023-04-19,user_7044,
Todoist,Productivity,5.0,Great customer support too Extremely Really design performance this update,117,1.8.8,2022-02-28,user_7452,
Trello,Productivity,3.0,"Decent app, does what it says Very Very design design this update Extremely Extremely Very Very Extremely the developer performance Really Slightly Really",457,4.8.7,2023-11-25,user_7471,We're working on it.
Google Maps,Travel,4.0,"Five stars, highly recommend! features features Slightly the developer performance performance performance this update the app this update the app design Extremely this update",331,3.4.1,2023-09-11,user_7756,Thank you for your feedback!
MyFitnessPal,Health & Fitness,5.0,,256,4.3.2,2022-01-17,user_4720,Thank you for your feedback!
Twitter,Social Networking,4.0,"Fantastic update, keeps getting better the app the app design the app the app Really features design features Extremely Really the app",263,4.6.1,2023-09-05,user_5816,
PayPal,Finance,5.0,Great customer support too Really features design Really Slightly Slightly this update Really Very performance this update Really this update the developer Slightly,0,4.6.5,2023-09-20,user_8541,
Amazon,Shopping,4.0,Can't imagine life without it Slightly design this update design performance the app this update the developer this update,373,5.8.1,2022-06-07,user_7191,
1Password,Utilities,3.0,Gets the job done Very performance Very the developer Extremely Extremely Really Really,120,2.3.6,2023-08-06,user_4172,Thank you for your feedback!
Todoist,Productivity,5.0,"Five stars, highly recommend! features Extremely features Very Really performance performance Extremely",174,2.7.1,2022-03-23,user_8530,
Amazon,Shopping,5.0,Can't imagine life without it features Extremely this update design design Slightly the developer this update the developer design this update the developer design performance Extremely,164,1.6.7,2022-10-06,user_6376,We're working on it.
Lightroom,Photo & Video,5.0,"Fantastic update, keeps getting better Really this update design Extremely design this update design Extremely features the app Very Really",119,5.8.5,2023-02-27,user_7551,Thank you for your feedback!
DoorDash,Food & Drink,5.0,Can't imagine life without it Really Very the app features Really Slightly design the app design,155,2.6.7,2022-02-01,user_6468,
Pokemon GO,Games,,Incredible features and smooth UI the app features features Slightly Extremely the app Extremely,389,2.9.2,2022-12-11,user_3608,We're working on it.
Canva,Photo & Video,3.0,Useful but not without issues Very Really,444,1.2.8,2023-03-15,user_9071,
Dropbox,Utilities,1.0,"Horrible update, they broke everything Really",333,2.0.2,2022-10-26,user_7009,
1Password,Utilities,,Interface is confusing and cluttered Really design,292,3.1.0,2023-08-20,user_2349,
Amazon,Shopping,5.0,,284,5.1.9,2022-10-19,user_3271,
Coursera,Education,5.0,Works flawlessly on my iPhone Very performance this update the app Extremely Extremely Slightly Slightly,34,2.7.7,2023-01-03,user_9337,
VSCO,Photo & Video,4.0,"Five stars, highly recommend! design Extremely features Slightly Slightly Extremely Very Very Really this update Very Very the app",244,2.1.4,2022-12-07,user_6242,We're working on it.
Facebook,Social Networking,2.0,Not worth the subscription price the app features the developer the developer performance Slightly performance design the developer Slightly Slightly Slightly Really,160,3.6.2,2023-05-25,user_8594,Thank you for your feedback!
Netflix,Entertainment,4.0,Can't imagine life without it Very Slightly features the app Slightly features this update the developer Really performance features the app the app features,205,2.0.2,2022-09-03,user_9401,We're working on it.
Venmo,Finance,5.0,Incredible features and smooth UI performance the app performance the developer performance design,275,3.5.0,2022-04-18,user_8910,We're working on it.
Microsoft Word,Productivity,5.0,Changed my daily routine for the better Slightly the developer performance this update,215,5.6.8,2023-08-28,user_4222,Thank you for your feedback!
YouTube,Entertainment,5.0,Absolutely love this app! features this update Extremely features the app Extremely Really this update features Really design the app the app design,125,5.3.5,2023-08-29,user_4651,Thank you for your feedback!
Twitter,Social Networking,5.0,Incredible features and smooth UI design,305,5.4.6,2022-09-29,user_1070,We're working on it.
TikTok,Social Networking,5.0,,38,5.6.0,2023-05-29,user_6016,We're working on it.
1Password,Utilities,4.0,,494,1.1.2,2022-09-22,user_3769,
1Password,Utilities,4.0,Incredible features and smooth UI Very the app performance Slightly performance Extremely features the developer the developer Really Very Very features,406,2.1.4,2022-07-03,user_2857,Thank you for your feedback!
Spotify,Music,5.0,"Best app on my phone, period. this update the app the developer performance Slightly Really Very design this update Extremely Really features design performance",339,1.1.2,2022-05-30,user_6604,
Airbnb,Travel,2.0,Lost all my data after update the app features the developer Really design performance,125,4.1.8,2023-02-17,user_4479,
Microsoft Word,Productivity,4.0,Works flawlessly on my iPhone performance performance Really features Extremely the developer features the app performance Slightly the developer Very Really the app Really,335,3.0.5,2023-10-27,user_6549,Thank you for your feedback!
Disney+,Entertainment,5.0,Absolutely love this app! design Really design this update this update Very Very the app features performance,379,3.1.9,2022-02-03,user_6194,
Lightroom,Photo & Video,5.0,Great customer support too Extremely design Really Slightly features Very Extremely Slightly Very Slightly the app Really this update,497,1.7.4,2022-11-04,user_7666,
Fortnite,Games,3.0,Average experience overall Very Really Very this update this update Very Very features performance Slightly,263,1.2.9,2022-08-06,user_2291,
Clash of Clans,Games,3.0,Average experience overall design this update this update design design this update this update the developer Extremely,357,5.4.1,2023-02-18,user_1667,
Strava,Health & Fitness,5.0,"Best app on my phone, period. Extremely Really Really features this update Very the app the app Slightly this update",85,3.2.9,2023-07-29,user_5056,
Spotify,Music,4.0,Super intuitive and fast the developer this update design the developer Really,192,2.2.2,2023-11-30,user_9350,
Strava,Health & Fitness,5.0,Absolutely love this app! this update performance design the app Extremely the app the developer Slightly,217,5.4.5,2022-05-20,user_7627,We're working on it.
Strava,Health & Fitness,4.0,Works flawlessly on my iPhone Extremely the developer design performance Extremely the developer Really Very this update,413,3.2.9,2022-07-08,user_2965,
Notion,Productivity,4.0,Absolutely love this app! features performance performance the developer Very Extremely features,144,5.0.3,2022-04-24,user_1225,Thank you for your feedback!
Candy Crush,Games,5.0,Can't imagine life without it the app Very the developer Very Slightly features,302,4.8.4,2023-03-31,user_4302,
Instagram,Social Networking,5.0,"Five stars, highly recommend! Very the developer features Extremely the app Extremely Really Really the app Really design",75,1.7.8,2022-10-24,user_4339,Thank you for your feedback!
Pokemon GO,Games,2.0,Terrible battery drain Extremely Very performance the app,344,5.1.9,2023-04-11,user_6699,
Etsy,Shopping,5.0,Changed my daily routine for the better Extremely design design features Extremely the app the app Very performance the developer Slightly features this update the developer,288,2.1.4,2023-01-15,user_9552,
Dropbox,Utilities,5.0,"Best app on my phone, period. design this update Slightly the app Really features Very design",286,3.3.8,2023-09-21,user_9682,
eBay,Shopping,5.0,"Fantastic update, keeps getting better",52,2.0.5,2023-12-08,user_7876,We're working on it.
Spotify,Music,5.0,Absolutely love this app! Very Very Slightly performance Extremely design this update the developer the developer features this update Slightly Slightly the developer design,360,3.0.5,2023-01-01,user_8723,
Google Maps,Travel,2.0,Support never responds Extremely features Really Really this update Very the app Really the app this update performance Very features this update performance,219,2.3.3,2023-01-15,user_2586,
Twitter,Social Networking,,"Decent app, does what it says Very Extremely this update the app Extremely Slightly Extremely Very design performance this update the developer performance",191,1.7.4,2023-07-09,user_3736,
Venmo,Finance,1.0,Keeps freezing on my device design Very this update Extremely this update Really the developer features performance this update Very performance features,72,5.0.4,2022-07-17,user_3819,
TikTok,Social Networking,5.0,Absolutely love this app! Very Extremely Very the app the developer,88,2.9.2,2022-02-02,user_2931,
SoundCloud,Music,5.0,Incredible features and smooth UI Very Really features the app Really Slightly this update the developer design Very performance Extremely Very,72,1.6.3,2023-12-18,user_3722,
Netflix,Entertainment,2.0,Lost all my data after update design Very features this update this update features the app the developer performance Extremely,158,3.9.3,2022-01-21,user_4215,Thank you for your feedback!
VSCO,Photo & Video,5.0,"Five stars, highly recommend! features design Very the developer features Extremely performance features Very the app features this update performance Very",323,5.2.8,2022-08-26,user_3071,
Clash of Clans,Games,5.0,Great customer support too Extremely this update,101,3.8.8,2022-04-06,user_5254,
Spotify,Music,4.0,Great customer support too design Really the app design,101,2.3.1,2023-06-15,user_3421,We're working on it.
Khan Academy,Education,4.0,"Best app on my phone, period. performance this update performance Slightly Very Extremely design Really performance performance performance the developer design",481,1.1.5,2022-06-18,user_2328,
Dropbox,Utilities,5.0,Changed my daily routine for the better features Really performance this update Slightly performance performance the developer performance features Slightly the developer performance this update Extremely,488,3.4.2,2022-03-29,user_9941,
Instacart,Food & Drink,4.0,,364,2.6.5,2023-10-14,user_6594,
SoundCloud,Music,5.0,Great customer support too this update the app this update Extremely Very Extremely Extremely Slightly,343,1.5.4,2022-06-24,user_7149,
Uber,Travel,4.0,Absolutely love this app! Really Extremely the app design this update the developer performance Really the developer the developer features features Very Really Extremely,454,1.1.6,2022-09-16,user_9660,
Uber,Travel,1.0,Lost all my data after update,142,3.4.2,2023-07-15,user_8760,Thank you for your feedback!
Facebook,Social Networking,5.0,Great customer support too Slightly performance this update Really Extremely Very,198,1.2.6,2023-09-26,user_5835,
Airbnb,Travel,,,402,3.4.1,2023-04-19,user_1668,Thank you for your feedback!
VSCO,Photo & Video,4.0,"Five stars, highly recommend! Slightly performance performance design Really",472,4.3.5,2022-12-15,user_9904,
VSCO,Photo & Video,5.0,Changed my daily routine for the better,223,1.7.6,2022-11-12,user_7736,
VSCO,Photo & Video,4.0,Great customer support too,427,2.1.5,2022-09-05,user_9207,We're working on it.
Evernote,Productivity,1.0,Terrible battery drain performance Very the developer the developer the developer Slightly Extremely the developer features Extremely,266,2.3.3,2022-12-30,user_4183,We're working on it.
Twitter,Social Networking,5.0,Works flawlessly on my iPhone design Very performance design design Really performance the app the app design,109,1.8.0,2023-09-14,user_4254,
Yelp,Food & Drink,5.0,"Best app on my phone, period. the app Very the developer features Really the app",449,1.1.1,2023-09-19,user_9272,Thank you for your feedback!
Hulu,Entertainment,4.0,Can't imagine life without it Really features design performance performance this update Really features Extremely Really design this update,2,3.6.1,2023-07-17,user_3095,We're working on it.
Airbnb,Travel,4.0,Absolutely love this app! the developer Slightly the developer the app performance design this update,327,4.0.9,2023-11-28,user_4501,Thank you for your feedback!
SoundCloud,Music,4.0,Works flawlessly on my iPhone Very Really Slightly Really Very this update performance Extremely this update Extremely Slightly,453,4.5.0,2023-08-24,user_3282,Thank you for your feedback!
Microsoft Word,Productivity,5.0,Super intuitive and fast features the developer this update Really the app,220,3.5.6,2022-03-20,user_2511,
Among Us,Games,4.0,Incredible features and smooth UI this update the app performance design,11,1.5.3,2023-05-20,user_7479,Thank you for your feedback!
Duolingo,Education,3.0,"Decent app, does what it says Very Very performance",303,1.0.3,2022-02-26,user_9523,
SoundCloud,Music,,"Five stars, highly recommend! design Really design Really Very the app Slightly performance Really Very Extremely design",299,3.0.6,2023-06-06,user_4004,Thank you for your feedback!
DoorDash,Food & Drink,4.0,"Best app on my phone, period. the developer the app performance the developer Very Extremely this update Extremely performance Really Extremely design Really this update the app",42,2.5.4,2022-09-01,user_8813,We're working on it.
Disney+,Entertainment,5.0,Great customer support too the app Extremely the developer the developer,325,1.0.1,2023-11-15,user_7071,Thank you for your feedback!
Dropbox,Utilities,5.0,Absolutely love this app! this update,363,5.9.1,2022-10-24,user_5681,We're working on it.
Evernote,Productivity,5.0,Absolutely love this app! features this update Very performance performance the developer the developer performance this update Slightly performance Extremely this update the developer,492,5.7.1,2023-06-19,user_5842,
Google Maps,Travel,5.0,Can't imagine life without it the developer this update Very this update Extremely performance design this update performance design features design,106,1.2.3,2022-10-29,user_3314,Thank you for your feedback!
Headspace,Health & Fitness,1.0,Interface is confusing and cluttered the app,302,1.8.7,2022-06-08,user_7520,
Coursera,Education,2.0,"Buggy and slow, needs a lot of work",398,4.2.3,2022-11-13,user_4737,We're working on it.
Instacart,Food & Drink,3.0,"Some features are great, others not so much the developer the developer Slightly Extremely features Very design performance design features",202,1.5.6,2023-11-11,user_2930,
Dropbox,Utilities,4.0,Works flawlessly on my iPhone Slightly this update design Very this update Slightly the developer the app Extremely performance Slightly Slightly the app,323,1.3.0,2023-07-30,user_8895,Thank you for your feedback!
Candy Crush,Games,5.0,Super intuitive and fast design Slightly Slightly features Very design,469,3.6.8,2022-06-02,user_4942,We're working on it.
Lightroom,Photo & Video,3.0,Average experience overall design,333,2.7.3,2022-01-02,user_1106,We're working on it.
Duolingo,Education,4.0,Works flawlessly on my iPhone features Slightly features Very features Slightly Extremely Really Very the developer design design,495,1.0.1,2023-01-20,user_9647,
Amazon,Shopping,4.0,Incredible features and smooth UI Extremely the developer,493,3.0.7,2023-02-22,user_3903,We're working on it.
Microsoft Word,Productivity,4.0,Works flawlessly on my iPhone the developer the developer Really Slightly the developer Extremely design the app this update Slightly Really features design performance,238,4.2.9,2022-05-21,user_6645,
Uber,Travel,4.0,"Best app on my phone, period. performance design features features features this update features Really performance Really features the developer Extremely features Very",135,4.3.1,2022-05-16,user_6147,
Netflix,Entertainment,4.0,Super intuitive and fast Slightly features Very this update Really Really,419,2.1.1,2023-09-10,user_3676,
MyFitnessPal,Health & Fitness,5.0,"Best app on my phone, period. performance Extremely this update the developer Very the app this update",1,3.6.1,2022-07-14,user_4575,Thank you for your feedback!
PUBG Mobile,Games,4.0,Great customer support too Slightly this update performance Very this update Really design Extremely Really,131,1.6.4,2022-10-19,user_1866,
Khan Academy,Education,5.0,Changed my daily routine for the better design Slightly this update features features performance the app this update,349,2.1.0,2022-06-15,user_2511,Thank you for your feedback!
Yelp,Food & Drink,3.0,Works fine most of the time the developer Extremely features,350,4.2.9,2023-07-14,user_6572,Thank you for your feedback!
YouTube,Entertainment,5.0,Works flawlessly on my iPhone Extremely the app design design this update design design Very the developer Slightly Really Extremely performance features,38,1.7.9,2023-07-12,user_8023,Thank you for your feedback!
Google Drive,Utilities,4.0,"Best app on my phone, period. the app Really design the app features this update design design Really performance Slightly Very the developer Very",70,2.5.5,2023-11-22,user_3608,
Headspace,Health & Fitness,4.0,Can't imagine life without it,240,3.8.7,2022-04-18,user_5340,Thank you for your feedback!
DoorDash,Food & Drink,5.0,Super intuitive and fast this update performance,297,2.1.9,2022-05-23,user_6363,We're working on it.
Headspace,Health & Fitness,5.0,"Fantastic update, keeps getting better this update",83,5.4.3,2023-03-17,user_9877,
Google Maps,Travel,4.0,Absolutely love this app! Very features design performance features,262,2.8.6,2023-09-05,user_5108,We're working on it.
VSCO,Photo & Video,,Super intuitive and fast design Slightly performance this update the developer the developer Extremely the app this update,171,4.0.7,2022-04-04,user_6848,
Facebook,Social Networking,1.0,Lost all my data after update the app the app this update features Very features the app Slightly Really the developer performance the developer,361,4.7.9,2023-06-29,user_9068,Thank you for your feedback!
Google Maps,Travel,2.0,"Horrible update, they broke everything this update performance Very design Slightly this update the app performance performance this update the developer Really the developer",140,2.5.0,2023-12-14,user_5412,
1Password,Utilities,5.0,Can't imagine life without it Slightly the developer the developer this update Really Very Extremely this update performance Slightly Slightly Extremely,117,5.6.7,2023-08-31,user_7456,
Notion,Productivity,4.0,Can't imagine life without it Very Extremely features the developer performance design performance design Extremely,219,2.8.9,2022-04-16,user_6573,Thank you for your feedback!
Trello,Productivity,3.0,Average experience overall the developer features,8,2.8.5,2023-05-10,user_3914,
MyFitnessPal,Health & Fitness,5.0,Super intuitive and fast the app this update design Extremely this update,471,3.1.3,2023-06-01,user_2740,We're working on it.
Netflix,Entertainment,4.0,"Five stars, highly recommend! Slightly features the app Extremely Slightly design Slightly the developer performance performance Extremely",124,3.3.0,2022-07-18,user_6023,We're working on it.
Pokemon GO,Games,5.0,Great customer support too features Very,151,4.9.7,2022-06-18,user_1768,
Airbnb,Travel,,Can't imagine life without it Extremely Really design Extremely Slightly Slightly the app,153,3.5.3,2022-04-20,user_4548,
SoundCloud,Music,4.0,Works flawlessly on my iPhone design the app design this update Extremely the app,67,3.0.0,2023-09-28,user_5354,
Dropbox,Utilities,4.0,"Best app on my phone, period. features performance Really Slightly the app the developer features Very this update",18,4.8.0,2023-09-12,user_3156,Thank you for your feedback!
Minecraft,Games,5.0,Incredible features and smooth UI Very design this update design Slightly Very Very Slightly design design the app,166,1.5.9,2023-06-03,user_7807,Thank you for your feedback!
Google Maps,Travel,5.0,"Fantastic update, keeps getting better Extremely Very the app Slightly Slightly performance the developer this update",145,3.9.6,2023-01-08,user_6199,We're working on it.
VSCO,Photo & Video,,Super intuitive and fast Slightly the developer Very Really,457,4.5.0,2022-05-20,user_1102,
Among Us,Games,4.0,Super intuitive and fast Slightly Extremely the developer Extremely features Very design design design,241,3.5.1,2022-08-02,user_1091,
Spotify,Music,3.0,Gets the job done this update,48,4.8.2,2023-11-30,user_2644,
Lightroom,Photo & Video,5.0,Incredible features and smooth UI Slightly the developer performance Very features the developer features the app design performance performance Extremely,225,4.2.0,2022-05-13,user_7001,We're working on it.
Disney+,Entertainment,4.0,Super intuitive and fast Extremely features Really Extremely design performance design Very Very design Very,148,5.2.0,2023-10-04,user_5994,We're working on it.
Subway Surfers,Games,2.0,"Crashes constantly, very frustrating performance design this update the app the app Extremely this update Slightly this update performance the app performance",431,4.2.2,2022-12-25,user_8865,Thank you for your feedback!
Canva,Photo & Video,4.0,Incredible features and smooth UI this update Extremely Very Very this update Really Very Really design design performance,418,4.8.3,2022-04-15,user_7430,
Uber,Travel,5.0,Super intuitive and fast features the developer Very the app Extremely the app performance Extremely this update this update Very design Really Very,159,2.9.9,2023-09-22,user_4507,Thank you for your feedback!
Trello,Productivity,5.0,"Best app on my phone, period. performance the developer this update the developer Extremely this update Extremely Very the developer performance Extremely this update design",456,2.5.8,2022-11-12,user_5370,Thank you for your feedback!
Pokemon GO,Games,4.0,"Fantastic update, keeps getting better performance design Extremely design Extremely features this update Extremely Extremely design performance the developer performance Very",440,4.9.9,2023-03-26,user_1044,
DoorDash,Food & Drink,4.0,Super intuitive and fast Really Really Extremely features the app this update the app Very the app design Slightly this update this update features,257,2.2.2,2022-01-29,user_2614,
SoundCloud,Music,4.0,"Five stars, highly recommend! this update",262,2.0.0,2022-09-29,user_9010,We're working on it.
Google Drive,Utilities,5.0,"Fantastic update, keeps getting better Slightly Extremely performance performance Slightly this update Very the developer Slightly Really design performance features performance",322,2.0.4,2022-11-06,user_4871,Thank you for your feedback!
Etsy,Shopping,4.0,"Best app on my phone, period. Very Really design Very Extremely performance design design Really Very",124,5.2.9,2022-12-23,user_1393,
Lightroom,Photo & Video,5.0,Changed my daily routine for the better Extremely design this update Really design features this update features Really the developer the app the developer Very Slightly the developer,240,2.1.3,2022-06-11,user_2934,Thank you for your feedback!
Strava,Health & Fitness,1.0,Not worth the subscription price Really the developer performance Really,279,1.6.6,2022-04-18,user_3121,
Among Us,Games,2.0,"Too many ads, ruins the experience the app",18,3.8.7,2022-09-12,user_4243,We're working on it.
Disney+,Entertainment,5.0,Changed my daily routine for the better Extremely,101,2.6.6,2022-12-12,user_4414,We're working on it.
Minecraft,Games,5.0,Super intuitive and fast the developer the developer Slightly this update Very performance Very Really Really this update Slightly this update features design,166,5.5.2,2022-06-03,user_5697,Thank you for your feedback!
Notion,Productivity,5.0,Absolutely love this app! performance Slightly features performance design Really,35,1.3.9,2023-09-03,user_6656,
Dropbox,Utilities,,Interface is confusing and cluttered design performance Extremely the app Very Very features this update this update Slightly performance Very design Extremely Really,352,2.0.2,2023-05-09,user_1881,Thank you for your feedback!
Pokemon GO,Games,5.0,Can't imagine life without it the app this update Extremely Very the developer,72,4.1.6,2023-03-13,user_1366,Thank you for your feedback!
TikTok,Social Networking,4.0,Super intuitive and fast design this update features Very,378,3.4.2,2023-12-02,user_1124,
Dropbox,Utilities,4.0,Incredible features and smooth UI Extremely,486,1.0.9,2023-01-07,user_7644,Thank you for your feedback!
DoorDash,Food & Drink,2.0,Not worth the subscription price the app performance the developer Slightly this update performance Slightly Extremely design features Extremely,48,1.2.4,2023-04-18,user_8113,
Pokemon GO,Games,,Absolutely love this app! performance,443,5.1.0,2022-08-01,user_1436,Thank you for your feedback!
Uber,Travel,5.0,Changed my daily routine for the better the app Extremely features,26,4.2.6,2023-06-13,user_1698,We're working on it.
Minecraft,Games,5.0,Great customer support too design the developer the app,263,2.9.0,2022-04-21,user_6615,
Coursera,Education,5.0,"Best app on my phone, period. this update the app Very Really performance Slightly",49,1.4.5,2023-06-28,user_5514,Thank you for your feedback!
Lightroom,Photo & Video,5.0,Changed my daily routine for the better Very performance Really this update Very this update this update Slightly the app the app Extremely Really,299,1.8.0,2022-12-08,user_4259,
Instacart,Food & Drink,4.0,"Five stars, highly recommend! design features the app Extremely the app",258,4.6.2,2022-03-22,user_6787,We're working on it.
PUBG Mobile,Games,3.0,"Some features are great, others not so much the developer the app Really features",129,4.6.6,2022-04-13,user_6088,
eBay,Shopping,5.0,Works flawlessly on my iPhone,257,1.1.0,2023-04-03,user_8956,Thank you for your feedback!
Pokemon GO,Games,4.0,Incredible features and smooth UI Really,290,3.9.3,2023-07-11,user_2113,We're working on it.
Hulu,Entertainment,5.0,Incredible features and smooth UI,285,3.3.1,2022-11-21,user_3820,
Twitter,Social Networking,4.0,Works flawlessly on my iPhone design,149,3.9.7,2023-02-09,user_9670,Thank you for your feedback!
eBay,Shopping,5.0,Changed my daily routine for the better Very this update,35,1.6.6,2023-09-10,user_5794,
Strava,Health & Fitness,5.0,"Five stars, highly recommend! Very the app features",476,4.7.9,2022-09-30,user_5067,
Evernote,Productivity,,Can't imagine life without it Very performance features the developer this update this update features features the app Really performance features Very,310,4.2.0,2022-08-08,user_8655,
PayPal,Finance,4.0,"Fantastic update, keeps getting better Very the app design the developer the developer",445,3.1.8,2022-03-27,user_4853,
Google Drive,Utilities,4.0,Works flawlessly on my iPhone features design Really the app Really design this update this update Extremely the developer Really design Really this update,54,4.4.4,2023-07-02,user_3264,
Hulu,Entertainment,5.0,"Best app on my phone, period. features design this update performance Extremely features features Slightly features this update Really Really this update the app",144,3.7.1,2022-07-04,user_4095,Thank you for your feedback!
DoorDash,Food & Drink,4.0,"Best app on my phone, period. this update Really the developer Really Very design the developer this update performance",135,5.6.8,2023-06-01,user_3464,Thank you for your feedback!
YouTube,Entertainment,5.0,"Five stars, highly recommend! the developer Really Really Slightly performance Extremely performance performance the app Slightly Really design the developer Very Extremely",143,5.8.3,2022-12-08,user_7183,
Candy Crush,Games,,"Fantastic update, keeps getting better Very the developer design features performance Extremely the developer Slightly Extremely Extremely the developer Really",278,4.8.4,2022-06-05,user_2061,Thank you for your feedback!
Minecraft,Games,4.0,Super intuitive and fast Very Very features Slightly performance design the app this update Very this update,103,5.3.4,2023-07-02,user_7555,We're working on it.
Dropbox,Utilities,1.0,Lost all my data after update the developer design Very Extremely the app features performance,467,4.9.9,2022-03-11,user_7961,
Amazon,Shopping,5.0,"Best app on my phone, period. Extremely Extremely",363,1.9.3,2023-01-02,user_3674,
Netflix,Entertainment,3.0,Useful but not without issues Extremely the app the app,285,1.5.2,2022-09-12,user_1717,
Canva,Photo & Video,4.0,Great customer support too the app performance performance,453,2.5.4,2022-11-06,user_9119,
